,Bar Name,Address,Phone Number,Description,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
78,Artyard Bar & Kitchen at Bankside Hotel,"2 Blackfriars Road, Upper Ground, London, SE1 9JU",+44 (0) 20 3943 2020,"An informal design-led bar a hop from the South Bank - as vibrant and artistic as its neighbourhood. The enticing drinks menu serves up classics with a twist, making it a must visit for creative cocktails enthusiasts.",9AM - 11PM,9AM - 11PM,9AM - 11PM,9AM - 11PM,9AM - 11PM,9AM - 11PM,9AM - 11PM
79,Mr Fogg's House of Botanicals,"48 Newman Street, London, W1T 1QQ",+44 (0) 20 7590 5256,"A flora and fauna filled paradise in the heart of Fitzrovia. Two storeys of pot plants, birdcages and botanical-inspired libations served in unusual vessels from the well-travelled Mr Fogg.",3PM - 11PM,3PM - 12AM,3PM - 11PM,3PM - 12AM,3PM - 1AM,12PM - 1AM,2PM - 11PM
80,Vintry & Mercer: Do Not Disturb & Mercer Roof Terrace,"20 Garlick Hill, London, EC4V 2AU",L’aristocrate (Do Not Disturb) - £8 ,Tucked away on Garlick Hill uncover this discreet underground cocktail lounge with images of Ziegfeld Follies girls lining the walls plus their beautiful roof terrace to also discover.,Closed,5PM - 1AM,5PM - 1AM,5PM - 1AM,5PM - 1AM,5PM - 1AM,Closed
81,Hacha Dalston,"378 Kingsland Road, London, E8 4AA",Cosecha - £8 ,Award-winning agave-focussed neighbourhood bar with 25 delicious tequilas and mezcals available to taste and some cracking Mexican small plates flying out of the kitchen.,Closed,5PM - 11PM,5PM - 11PM,5PM - 11PM,5PM - 11PM,5PM - 11PM,Closed
82,Murder Inc.,"36 Hanway Street, London, W1T 1UP",Single-Pour Sling - £8,The team from Cocktail Trading Company have made their way back to central London with this riot of a bar inspired by early 20th century gangsters and offering really good value drinks.,5PM - 12AM,5PM - 12AM,5PM - 12AM,5PM - 12AM,5PM - 2AM,5PM - 2AM,Closed
83,Funkidory,"42 Peckham Rye, London, SE15 4JR",LATINO AMERICANO - £8,"Lovely little owner-run neighbourhood spot in Peckham, with laid back vibes, a fantastic natural wine selection and a record shop inside too… The playlist is always set to funky and the drinks are downright delicious!",Closed,5PM - 11PM,5PM - 11PM,5PM - 11PM,5PM - 12AM,5PM - 12AM,Closed
84,Stables Bar at The Milestone Hotel,"1 Kensington Court, London, W8 5DL",+44 (0) 20 7917 1000,An eclectic mix of equestrian collectables and theatrical drinks await at this small and uniquely decorated hideaway - one of Kensington's best hidden treasures.,2PM - 11PM,2PM - 11PM,2PM - 11PM,2PM - 11PM,2PM - 11PM,2PM - 11PM,2PM - 11PM
85,SUPERMAX,"14-18 Handyside St, London, N1C 4DN",+44 (0) 79 0871 4270,Hidden below Happy Face pizza lies this neon and disco ball-filled wonderland. They shake up twists on classic cocktails and boast a stellar sound system... It's always a recipe for a great night out.,Closed,Closed,5PM - 12AM,5PM - 12AM,5PM - 1AM,5PM - 1AM,Closed
86,The Franklin Bar,"24 Egerton Gardens, London, SW3 2DB",+44 (0) 20 7584 5533,"Opulent little Cocktail & Champagne bar tucked away down a quiet South Kensington side street - with mirror lined walls, plush velvet seating, gorgeous drinks and decent nibbles, all with a subtle nod to Italy.",12PM - 9PM,12PM - 9PM,12PM - 9PM,12PM - 9PM,12PM - 9PM,12PM - 9PM,12PM - 9PM
87,Nikki's,"39a Hoxton Square, London, N1 6NN",+44 (0) 20 8191 8835,"Good-time party bar in Hoxton Square, inspired by Pulp Fiction - including a motel and diner-themed rooms.",Closed,Closed,Closed,5PM - 12AM,5PM - 1AM,2PM - 1AM,Closed
88,The Parlour at The Zetter Marylebone,"28-30 Seymour Street, London, W1H 7JB",+44 (0) 20 7324 4544,"A dark and sumptuous cocktail bar, inspired by an imaginary wicked uncle Seymour and found in The Zetter Marylebone.",Closed,4PM - 12AM,4PM - 12AM,4PM - 12AM,4PM - 12AM,4PM - 12AM,Closed
89,Covent Garden Social Club,"6-7 Great Newport Street, London, WC2H 7JB",+44 (0) 74 5803 1010,"This members bar is hidden just steps away away from Leicester Square, where they've managed to perfectly balance delicious cocktails and being the life of the party.",4:30PM - 11:30PM,4:30PM - 11:30PM,4:30PM - 11:30PM,4:30PM - 12AM,4:30PM - 12AM,4:30PM - 12AM,Closed
90,Bar 190 at The Gore Hotel,"The Gore Hotel, 190 Queen's Gate, London, SW7 5EX",+44 (0) 20 7584 6601,"Best known as the location for the launch and photoshoot for The Rolling Stones’ 1968 album Beggars Banquet, and the bar's distinct rock 'n' roll decor certainly honours and reflects this event.",2PM - 11:45PM,2PM - 11:45PM,2PM - 11:45PM,2PM - 11:45PM,2PM - 11:45PM,2PM - 11:45PM,2PM - 10PM
91,Mezcalito Chelsea,"119 Sydney Street, London, SW3 6NR",+44 (0) 20 7993 5248,"This hidden terrace in the heart of Chelsea transports you to a Mexican beach with delicious food, a range of agave spirit cocktails, Tequila & Mezcal.",5PM - 12AM,5PM - 12AM,5PM - 12AM,5PM - 12AM,5PM - 12:30AM,12PM - 12:30AM,12PM - 11:30PM
92,Callooh Callay Chelsea,"316-318 Kings Road, London, SW3 5UH",+44 (0) 20 7351 3574,"The Shoreditch staple has made it's way west, bringing their usual eccentricities and own brand of fun to the Kings Road. Inventive drinks, space for most sized groups and a hidden bar only add to the appeal.",6PM - 1AM,6PM - 1AM,6PM - 1AM,6PM - 1AM,6PM - 1AM,4PM - 1AM,6PM - 1AM
93,The Delaunay & The Delaunay Counter,"55 Aldwych, London, WC2B 4BB",+44 (0) 20 7499 8558,This elegant space from the team behind The Wolseley is a perfect pre-theatre meeting spot with two separate bars to discover and enjoy... The Delaunay - an all-day café-restaurant and The Counter - an informal café and bar.,7AM - 10:30PM,7AM - 10:30PM,7AM - 10:30PM,7AM - 10:30PM,7AM - 10:30PM,Closed,11AM - 9:45PM
94,The Garden Bar at Mama Shelter,"437 Hackney Road, London, E2 8PP",+44 (0) 20 7613 6500,"With both an indoor bar and a terrace, the space balances eclectic decorations - that we've come to expect from this chic hotel chain - with cozy furnishings, perfect for losing yourself in. DJ's on weekends too.",5PM - 10PM,5PM - 10PM,5PM - 10PM,5PM - 11:30PM,5PM - 12:30AM,5PM - 12:30AM,5PM - 9PM
95,"Double Standard at The Standard, London","10 Argyle Street, London, WC1H 8EG",+44 (0) 20 3981 8888,This beautiful Shawn-Hausman-designed space is the neighbourhood’s street-facing anchor for lunch and casual drinking and dining throughout the evening.,5PM - 10:30PM,5PM - 10:30PM,12PM - 10:30PM,12PM - 10:30PM,12PM - 10:30PM,12PM - 10:30PM,12PM - 10:30PM
96,Publiq.,"1D Palace Gate, London, W8 5LS",+44 (0) 20 3417 6768,"Centring on people, produce and positive impact, Publiq. is designed to be a modern take on the classic public house. Seasonal cocktails and farm-to-table sharing plates in a refined yet relaxed and inclusive setting.",Closed,4PM - 12AM,4PM - 12AM,4PM - 12AM,4PM - 12AM,12PM - 12AM,12PM - 11PM
97,Swift Shoreditch,"91-93 Great Eastern Street, London, EC2A 3HZ",St Martin's Martini - £8,Second venue from the husband and wife team of award-winning Swift Soho. With naughty Neal's Yard cheese toasties alongside their notoriously delicious drinks this is a welcome addition to the area and well worth a stop in for something light and fizzy early afternoon!,3PM - 11:30PM,3PM - 11:30PM,3PM - 11:30PM,3PM - 12AM,3PM - 12AM,3PM - 12AM,3PM - 11:30PM
98,"Rondo at The Hoxton, Holborn","199-206 High Holborn, London, WC1V 7BD",+44 (0) 20 7661 3030,"The kind of spot you want at the end of your street. Serious about food and drink, but with a welcoming vibe within this brilliantly located Holborn hotel.",7AM - 12AM,7AM - 12AM,7AM - 12AM,7AM - 12AM,7AM - 12AM,7AM - 12AM,7AM - 12AM
99,"Albie at The Hoxton, Southwark","40 Blackfriars Road , London, SE1 8PB",+44 (0) 20 7903 3030,"A neighbourhood-feel lobby bar in Southwark with an all-natural wine list, comfy sofas and an ever-changing rosta of food pop-ups to enjoy with a drink.",7AM - 12PM,7AM - 12PM,7AM - 12PM,7AM - 12PM,7AM - 1AM,7AM - 1AM,7AM - 12PM
100,12th Knot at Sea Containers,"20 Upper Ground, London, SE1 9PD",+44 (0) 20 3747 1063,"Delicious cocktails and unparalleled views over the Thames from this iconic bar, housed at the very top of Sea Containers hotel.",Closed,5PM - 12:30PM,5PM - 12:30PM,5PM - 12:30PM,5PM - 12:30PM,5PM - 12:30PM,Closed
101,Ham Yard Bar at The Ham Yard Hotel,"1 Ham Yard, London, W1D 7DT",+44 (0) 20 3642 1007,"A stylish and colourful space with interesting art, a unique pewter-topped bar and plenty of beautifully upholstered seating to enjoy their seasonal drinks and dishes on.",11AM - 11PM,11AM - 11PM,11AM - 11PM,11AM - 11PM,11AM - 11PM,11AM - 11PM,11AM - 11PM
102,Oscar Bar at Charlotte Street Hotel,"15-17 Charlotte Street, London, W1T 1RJ",+44 (0) 20 7980 1007,"Bright, colourful bar that spills out onto the street and brings a touch of Paris
café culture to Fitzrovia. It's a perfect spot for people watching with a delicious cocktail in hand.",11AM - 11PM,11AM - 11PM,11AM - 11PM,11AM - 11PM,11AM - 11PM,11AM - 11PM,11AM - 11PM
103,Refuel Bar at The Soho Hotel,"4 Richmond Mews, London, W1D 3DH",+44 (0) 20 7559 3007,"The Refuel Bar & Restaurant within the Soho Hotel is a super bright, bustling hotel bar set on the ground floor. Always buzzy with a perfect vibe almost any time of day, this is a great spot right in the centre of Soho tucked away on Richmond Mews.",7AM - 11PM,7AM - 11PM,7AM - 11PM,7AM - 11PM,7AM - 11PM,7AM - 11PM,8AM - 11PM
104,The Hari Bar and Garden Terrace,"20 Chesham Place, London, SW1X 8HQ",+44 (0) 20 7858 0100,"Intimate yet glamorous, The Hari Bar and Garden Terrace is the perfect place to enjoy long lazy lunches or relax and unwind with a cocktail after a busy day in central London.",12PM - 12AM,12PM - 12AM,12PM - 12AM,12PM - 12AM,12PM - 12AM,12PM - 12AM,12PM - 12AM
105,Henrietta Hotel,"14-15 Henrietta Street, London, WC2E 8QH",+44 (0) 20 3794 5314,The Henrietta Bar is a bustling hotel bar with a quirky cocktail list and an extraordinary selection of Cognacs. This little gem is located in the heart of Covent Garden tucked away on Henrietta Street.,12PM - 11:15PM,12PM - 11:15PM,12PM - 11:15PM,12PM - 11:15PM,12PM - 12:15AM,12PM - 12:15AM,12PM - 10:15PM
106,SUSHISAMBA Covent Garden,"35 The Market Building, London, WC2E 8RF",+44 (0) 20 3053 0000,"Second London outpost of the famed SUSHISAMBA restaurants, this time atop the historic Market Building in Covent Garden. Bold in design, with an Eric Parry-designed glass roof, airy living canopy bar area and views over The Piazza throughout.",12PM - 1AM,12PM - 1AM,12PM - 1AM,12PM - 1AM,12PM - 1AM,12PM - 1AM,12PM - 1AM
107,Wild By Tart,"3-4 Eccleston Yards, London , SW1W 9AZ",+44 (0) 20 3848 6240,An expansive foliage-filled warehouse space specialising in carefully selected spirits and fresh homemade shrubs - with a seasonal and exciting cocktail list combining classics with fresh new flavours.,Closed,5:30PM - 11:30PM,12PM - 11:30PM,12PM - 11:30PM,12PM - 12AM,12PM - 12AM,12PM - 4PM
108,The Cadogan Arms,"298 Kings Road, London, SW3 5UG",+44 (0) 20 3148 2630,"A modern take on a local boozer, The Cadogan Arms offers pub classics and seasonal dishes alongside classically inspired cocktails, twelve beers on tap, biodynamic wines and an extensive reserve list.",12PM - 11PM,12PM - 11PM,12PM - 11PM,12PM - 11PM,12PM - 12AM,12PM - 12AM,12PM - 9PM
109,The Distillery Bankside,"Hilton London Bankside, 2-8 Great Suffolk Street , London, SE1 0UG",+44 (0) 20 7593 3901,"Inspired by its history as a Victorian essence factory, this bar has a big focus on homemade aromatics and infusions, a 100 strong gin selection and vintage touches to the decor throughout.",3:30PM - 10:30PM,3:30PM - 10:30PM,3:30PM - 10:30PM,3:30PM - 10:30PM,3:30PM - 10:30PM,3:30PM - 10:30PM,3:30PM - 10:30PM
110,Sabine Rooftop Bar,"10 Godliman Street, London, EC4V 5AJ",Bloody Volcan X.A - £8,"A dreamy rooftop escape in the City that boasts botanical décor, fruity cocktails, two outside terraces (one with a retractable roof) and spectacular views of St. Paul's.",3PM - 12AM,3PM - 12AM,3PM - 12AM,3PM - 2AM,3PM - 2AM,12PM - 2AM,12PM - 12AM
111,Mrs Riot,"10 Henrietta Street, London, WC2E 8PS",+44 (0) 20 3004 4139,"A loud and lavish pleasure den in the heart of Covent Garden. A non-stop, experience led bistro and cocktail destination with live music every night and a karaoke room thrown in for good measure.",6PM - 11PM,4PM - 11:30PM,12PM - 11:30PM,12PM - 11:30PM,12PM - 12AM,11AM - 12AM,12PM - 10:30PM
112,Lockes,"32 Great Queen Street , London, WC2B 5AA",+44 (0) 20 8091 5609,"This intimate little bar just off the beaten track of Covent Garden is well worth a visit. Split over two floors, Lockes offers a beautiful art deco bar at ground floor before you descend to the basement bar where the lights become dimmer and the music a little louder.",4PM - 10:30PM,4PM - 10:30PM,4PM - 10:30PM,12PM - 12AM,12PM - 12AM,12PM - 12AM,3PM - 10PM
113,Christina's Bar at Mondrian Shoreditch,"45 Curtain Road, London, EC2A 3PT",+44 (0) 20 3988 4455,"All-day Shoreditch’s spot for cocktails, natural wine & coffee. Christina’s Shoreditch puts a fresh twist on the cocktail menu by only using responsibly foraged wild ingredients from local independent suppliers.",11AM - 11PM,11AM - 11PM,11AM - 11PM,11AM - 1AM,11AM - 1AM,11AM - 1AM,11AM - 11PM
114,Alma Bar,"47b Great Marlborough Street, London, W1F 7JP",+44 (0) 20 3988 3329,"A subterranean haven filled with retro furnishings, incredible bar snacks from the restaurant above and extraordinary drinks by Tony Pescatori. A celebration of Latin American and European heritage that is not to be missed!",Closed,6PM - 1AM,6PM - 1AM,6PM - 1AM,6PM - 1AM,6PM - 1AM,Closed
115,The Light Bar,"233 Shoreditch High Street, London, E1 6PJ",+44 (0) 20 8194 1685,"Set in an old Victorian power station built in 1893, The Light Bar is a modern British bar and restaurant. Under new ownership, the focus is on local produce, seasonal drinks and three floors of good times.",4PM - 12AM,11AM - 12AM,11AM - 12AM,11AM - 2AM,11AM - 2AM,11AM - 2AM,12PM - 10PM
116,Brumus Bar at Haymarket Hotel,"Haymarket Hotel, 1 Suffolk Place, London, SW1Y 4HX",+44 (0) 20 7470 4007,A vibrant English bar and brasserie with eclectic interiors in the heart of London’s theatre district - serving innovative and classic cocktails and carefully selected wines and spirits.,11AM - 11PM,11AM - 11PM,11AM - 11PM,11AM - 11PM,11AM - 11PM,11AM - 11PM,11AM - 11PM
117,Brasserie Max at Covent Garden Hotel,"10 Monmouth Street, London, WC2H 9LF",+44 (0) 20 7806 1007,"There's boutique charm aplenty at this hotel bar in the heart of Seven Dials. Rich fabrics, sumptuous interiors and a popular terrace make it an excellent choice for an afternoon tipple.",11AM - 11PM,11AM - 11PM,11AM - 11PM,11AM - 11PM,11AM - 11PM,11AM - 11PM,11AM - 11PM
118,Apothecary East,"36 Charlotte Road, London, EC2A 3PG",+44 (0) 20 7060 5335,"A cocktail bar echoing the high energy and sociable environment of a traditional Tokyo Izakaya, serving up rare spirits, Japanese small plates and cocktails made using local spirits.",5PM - 11PM,12PM - 11PM,12PM - 11PM,12PM - 11PM,12PM - 12AM,12PM - 12AM,Closed
119,KOL Mezcaleria,"9 Seymour Street, London, W1H 7BA",+44 (0) 20 3829 6888,"A homage to the magic of Mexico’s mezcal bars. Experience unique cocktails infused with wild, seasonal ingredients sourced from the British Isles, paired with traditional Mexican antojitos in a subterranean setting.",Closed,5PM - 1AM,5PM - 1AM,5PM - 1AM,5PM - 1AM,5PM - 1AM,Closed
120,Hacha Brixton,"Unit 12 Market Row, London, SW9 8LD",Cosecha - £8,"Hacha is a celebration of Tequila and Mezcal, this is the second site for London’s only agaveria with a bar, cocktail lounge and bottle shop dedicated to their signature Mirror Margarita. ",Closed,5PM - 11PM,5PM - 11PM,5PM - 11PM,5PM - 11PM,12PM - 11PM,Closed
121,Soma,"12-14 Denman Street, London, W1D 7HJ",TOMATO 2.0 - £8,"Modern, minimalist speakeasy serving Indian inspired drinks - set around a beautiful stainless steel island bar. This is a true hidden gem in the heart of Soho.",6PM - 1AM,6PM - 1AM,6PM - 1AM,6PM - 2AM,6PM - 3AM,6PM - 3AM,Closed
122,The George,"55 Great Portland Street, London, W1W 7LQ",+44 (0) 20 3946 3740,"A three-storey 18th Century Grade II listed pub in the heart of Fitzrovia, offering an all-day dining menu featuring traditional pub classics, delicious seasonal cocktails and perfect pints of Guinness!",Closed,12PM - 11PM,12PM - 11PM,12PM - 11:30PM,12PM - 11:30PM,12PM - 12AM,12PM - 8PM
123,Amaro,"15 Kensington High Street, London, W8 5NP",Rose Highball - £8,"A stunning high end cocktail bar right in the middle of Kensington High Street, dedicated to delivering contemporary customisations to classic cocktails.",Closed,6PM - 12AM,6PM - 12AM,6PM - 12:30AM,6PM - 12:30AM,6PM - 12:30AM,4PM - 11PM
124,Nightjar Carnaby,"Kingly Court, 49-51 Carnaby Street, London, W1F 9PY",Hidden Beast - £8,"A hidden slice of old-school glamour in the heart of the West End. Sleek interiors paired with playful classics, makes this the perfect pre-show meeting spot.",6PM - 12:30AM,6PM - 12:30AM,6PM - 12:30AM,6PM - 1AM,6PM - 2AM,6PM - 2AM,4PM - 9:30PM
125,Soda & Friends,"20 Hopewell Square, London, E14 0SY",Capri - £8,These guys combine spirits from all around the world and sodas to create mouth-watering cocktails.,Closed,Closed,4PM - 11PM,4PM - 11PM,4PM - 11PM,4PM - 11PM,4PM - 11PM
126,The Pine Bar at the Biltmore Mayfair,"44 Grosvenor Square, London, W1K 2HP",+44 (0) 20 7629 9400,"Modern elegance and glamour meets beautiful bespoke cocktails and specially selected snack pairings at this sleek bar, found in The Biltmore Mayfair hotel.",Closed,5PM - 12:30AM,5PM - 12:30AM,Closed,5PM - 12:30AM,5PM - 12:30AM,5PM - 11PM
127,Back Room Bar At Hard Rock Cafe,"148B Old Park Lane, London, W1K 1QZ",+44 (0) 20 7514 1700,"A hidden gem at the back of the Hard Rock Cafe London filled with vintage items, all with a famous past. Visit to experience an understated and music-orientated hangout with an eclectic vibe.",12PM - 10PM,12PM - 10PM,12PM - 10PM,12PM - 10PM,12PM - 10PM,12PM - 11PM,12PM - 10PM
128,Barts,"Chelsea Cloisters, Sloane Avenue, London, SW3 3DW",+44 (0) 20 7581 3355,"A 1920s secret speakeasy bar, hidden somewhere in the Chelsea Cloisters... Behind the secret black door, lies an atmospheric cocktail bar cleverly disguised as the 'apartment' of Chicago Gangster, Uncle Barts.",Closed,Closed,7PM - 1AM,6PM - 2AM,6PM - 2AM,5PM - 2AM,5PM - 12AM
129,Mrs Fogg's Dockside Drinkery & Distillery,"37 Broadgate Circle, Liverpool Street, London, EC2M 2QS",+44 (0) 20 7590 5257,"A nautical-themed cocktail bar for the adventurous, featuring a large outdoor seating area, spectacular cocktails and gin-packed adventures.",4PM - 10PM,12PM - 11PM,12PM - 11PM,12PM - 12AM,12PM - 12AM,12PM - 12AM,12PM - 8PM
130,The Umbrella Workshop,"10 Cleeve Workshop, Boundary Street, London , E2 7JD",Easy Rider - £8,"The first bricks and mortar store from the Umbrella Project! A tiny off-license, tasting room and bar all rolled into one. Drop in for bottled cocktails, small producer spirits and of course Irish Whiskey!",12PM - 6PM,12PM - 10PM,12PM - 10PM,12PM - 10PM,12PM - 10PM,12PM - 10PM,12PM - 10PM
131,Smith & Whistle at Sheraton Grand London Park Lane,"Piccadilly, London, W1J 7BX",+44 (0) 20 7499 6321,Step into the elegant retro style decorated bar with beautiful copper walls and forget about the busy roads.,4PM - 11:30PM,12PM - 11:30PM,12PM - 11:30PM,12PM - 11:30PM,12PM - 1AM,12PM - 1AM,12PM - 11:30PM
132,Terra at Eataly,"135 Bishopsgate, London, EC2M 3YD",+44 (0) 20 4538 0271,"Terra means Earth - the Terra bar and restaurant showcases high quality rare Italian ingredients that sing in their unique simplicity - a rich, immersive experience in a beautiful green space to be shared and savoured.",Closed,12PM - 11PM,12PM - 11PM,12PM - 11PM,12PM - 11PM,11:30AM - 11PM,11:30AM - 10PM
133,The Dandy Bar,"The Mayfair Townhouse, 27-41 Half Moon Street, Mayfair, London, W1J 7BG",+44 (0) 20 8138 3400,"An elegant and expertly curated Mayfair bar, which takes its inspiration from the British Dandy actors of the area. Playful cocktails and the feel of a members club, all hidden away in a perfectly formed little hotel.",12PM - 10:30PM,12PM - 10:30PM,12PM - 10:30PM,12PM - 12AM,12PM - 12AM,12PM - 12AM,2PM - 10:30PM
134,Wild Heart Bar & Shokudo,"20 Warwick Street, London, W1B 5NF",+44 (0) 20 7292 6100,A magnificent cocktail lounge with a rockstar alter ego hidden away in the Karma Sanctum Soho hotel - specialising in Japanese street food and eye-catching cocktails.,Closed,8AM - 11PM,8AM - 11PM,8AM - 11PM,8AM - 11PM,8AM - 11PM,Closed
135,Feels Like June at TRIBE Canary Wharf,"15 Water Street, London , E14 9SB",+44 (0) 20 3530 7700,Brand new spot serving locals food and drink that is flavourful and fresh. The perfect place to pop into for after-work drinks or want to make a night of it.,7AM - 12AM,7AM - 12AM,7AM - 12AM,7AM - 12AM,7AM - 12AM,7AM - 12AM,7AM - 12AM
136,Harrods: Baccarat Bar & Studio Frantzén,"87-135 Brompton Road, London, SW1X 7XL",+44 (0) 20 7225 6800,"Two gloriously extravagant bars, both found within the Harrods store... Visit Baccarat for elaborate cocktails presented in the finest crystal in the world and Studio Frantzén for Nordic-inspired food and drinks in a rooftop setting.",3PM - 11:30PM,3PM - 11:30PM,3PM - 11:30PM,1PM - 11:30PM,1PM - 11:30PM,1PM - 11:30PM,1PM - 10PM
137,AMANO Rooftop Bar London,"Drury House, 34-43 Russell Street, London , WC2B 5HA",+44 (0) 20 3739 8900,"Located on the seventh floor of the Hotel AMANO Covent Garden, this swanky rooftop bar offers phenomenal city views and a first-class drinks menu - in the stylish lounge or on the covered terrace.",4PM - 11PM,4PM - 12AM,4PM - 12AM,4PM - 12AM,4PM - 12AM,4PM - 12AM,4PM - 11PM
138,Seed Library,"Seed Library , One Hundred Shoreditch, 100 Shoreditch High St, London, E1 6JQ",+44 (0) 20 7613 9803,A beautifully designed basement bar with retro touches and a 'low-fi' approach to drinks from the renowned Mr Lyan. Located within the One Hundred Shoreditch Hotel.,6PM - 1AM,Closed,6PM - 1AM,6PM - 1AM,6PM - 2AM,4PM - 2AM,5PM - 12AM
139,The Rooftop at One Hundred Shoreditch,"100 Shoreditch High Street, London, E1 6JQ",+44 (0) 20 7613 9800,A playful and pink rooftop bar that takes inspiration from Palm Springs in the gorgeous One Hundred Shoreditch hotel.,Closed,5PM - 12AM,5PM - 12AM,5PM - 12AM,5PM - 12AM,5PM - 12AM,Closed
140,The Arber Garden,"1 Pearson Square, London, W1W 7EY",+44 (0) 20 3761 0200,"A gorgeous upmarket pub inspired by the botanist and philosopher Agnes Arber, best known for its floral decor, seasonal British cooking, botanical cocktails and heated terrace.",Closed,12PM - 11PM,12PM - 11PM,12PM - 11PM,12PM - 11PM,12PM - 11PM,Closed
141,The Broadcaster,"89 Wood Lane, London, W12 7FX",+44 (0) 20 4549 7420,"Set across four floors, The Broadcaster truly offers something for everyone, and all occasions. Whether that's refined 'pub grub' in the downstairs pub, smart but unfussy dining on the first floor, or the gorgeous views at the rooftop bar on the top floor.",12PM - 11PM,12PM - 11PM,12PM - 11PM,12PM - 11:30PM,12PM - 11:30PM,10AM - 11:30PM,10AM - 9PM
142,Great Scotland Yard Hotel: The 40 Elephants & Sibin,"3-5 Great Scotland Yard, London, SW1A 2HN",+44 (0) 20 7925 4700,A creative cocktail bar inspired by a notorious all-female gang and a wonderful secreted away whisky den - both found in the building that was once Detective Unit of Metropolitan Police also known as Scotland Yard.,10:30AM - 11:30PM,10:30AM - 11:30PM,10:30AM - 11:30PM,10:30AM - 11:30PM,10:30AM - 11:30PM,10:30AM - 11:30PM,10:30AM - 11:30PM
143,Corrochio's,"76 Stoke Newington Road, London, N16 7XB",+44 (0) 20 3239 7179,"Absolutely buzzing from midweek onwards, this basement cocktail bar, restaurant & taquería is a great way to experience a true Mexican hacienda when in Dalston.",Closed,6PM - 11:30PM,6PM - 11:30PM,6PM - 11:30PM,6PM - 1:30AM,12PM - 1:30AM,Closed
144,Kitchen At Holmes Bar,"108 Baker Street, London, W1U 6LJ",+44 (0) 20 7958 5210,An upmarket neighbourhood bar in the heart of Marylebone. Whether you're there for a drink before dining in the restaurant or to sip a seasonal cocktail on the heated terrace - you're in for a treat!,7AM - 12AM,7AM - 12AM,7AM - 12AM,7AM - 12AM,7:30AM - 1AM,7:30AM - 1AM,7AM - 12PM
145,The Potting Shed Bar at Dorset Square Hotel,"39-40 Dorset Square, London, NW1 6QN",+44 (0) 20 3642 2046,"A quaint all-day bar & restaurant with a lovely aperitif menu and interiors designed by owner and Creative Director Kit Kemp, in her fresh, modern English style.",11AM - 11PM,11AM - 11PM,11AM - 11PM,11AM - 11PM,11AM - 11PM,11AM - 11PM,11AM - 10PM
146,The Lowback,"1 Water Street, Wood Wharf, London, E14 5GX",+44 (0) 20 3988 0510,"The Lowback is Hawksmoor’s most ambitious bar yet. The result of many a steak-and-cocktail-fuelled discussions about how to take all the elements of a Hawksmoor bar – the cocktails, the food, the décor, the size, the music, the sound system, the atmosphere – and take them to the next level.",Closed,4PM - 11:30PM,12PM - 11:30PM,12PM - 11:30PM,12PM - 11:30PM,12PM - 11:30PM,12PM - 11PM
147,"The Aubrey at Mandarin Oriental Hyde Park, London","Mandarin Oriental Hyde Park, London, 66 Knightsbridge, London, SW1X 7LA",+44 (0) 20 7201 3899,"The Aubrey offers guests an adventure of a hungry mind full of innovative cocktails, brimming with Japanese flavours and Asian ingredients. Live DJs perform late into the night on Thursday, Friday and Saturdays.",4:30PM - 12AM,4:30PM - 12AM,4:30PM - 12AM,4:30PM - 1AM,4:30PM - 1AM,11:30AM - 1AM,11:30AM - 6PM
148,Le Petit Beefbar,"27 Cale Street, London, SW3 3QP",+44 (0) 20 4580 1219,"A great casual dining restaurant on Cale Street with an elegant, art-deco horseshoe bar for people watching. Home to stunning cuts, great drinks and a fantastic ambience.",11:30AM - 11:30PM,11:30AM - 11:30PM,11:30AM - 11:30PM,11:30AM - 11:30PM,11:30AM - 11:30PM,11:30AM - 11:30PM,11:30AM - 10:30PM
149,The Phoenix Bar at Tattu London,"The Now Building Rooftop, Outernet, Denmark Street, London, WC2H 0LA",+44 (0) 20 3778 1985,"A sophisticated and intimate rooftop bar, filled with feathered fabrics and touches of the orient - where incredible drinks and views from the adjoining terrace steal the show!",5PM - 11PM,5PM - 11PM,5PM - 11PM,5PM - 12AM,5PM - 12AM,5PM - 12AM,5PM - 12AM
150,Sketch: The Glade & The Parlour,"9 Conduit Street, London, W1S 2XG",+44 (0) 20 7659 4500,"Two beautiful, yet entirely different bars, housed within the iconic Sketch. Famous for their innovative installations, inventive cocktails and excellent afternoon teas.",9AM - 12AM,12PM - 12AM,12PM - 12AM,9AM - 2AM,9AM - 2AM,9AM - 2AM,9AM - 12AM
151,Ochre,"The National Gallery, Trafalgar Squar, London, WC2N 5DN",+44 (0) 20 7747 2525,Ochre at The National Gallery is a fabulous new cocktail bar and restaurant. They commit to serving organic and superior seasonal produce and are constantly evolving their menus and ideas.,11AM - 6PM,11AM - 6PM,11AM - 6PM,11AM - 11:30PM,11AM - 11:30PM,11AM - 11:30PM,11AM - 6PM
152,The Gunmakers,"13 Eyre Street Hill, London, EC1R 5ET",+44 (0) 20 3982 2905,"A hidden gem of a boozer, which looks like a pub but thanks to Southern-Californian-inspired tacos, craft beer and agave-focused cocktails - is so much more!",4PM - 11PM,4PM - 11PM,4PM - 11PM,4PM - 11PM,4PM - 11PM,Closed,Closed
